id;name;activ;discShort;discLong;addres;oktmo;fcp;actions;startBuild;endBuild;finValue;curator;telephone;workHours;email;siteUrl;typeObject;typeSport;latitude;longitude;scaleMap;photoUrl
2773;ДЮСШ отделение футбола;Y;Обеспечение населения Республики Алтай спортивными сооружениями, улучшение состояния здоровья и физического развития населения Республики Алтай Проведене тренировочного процесса по футболу учащихся ДЮСШ и проведение спортивных мероприятий регионального уровня. Даты крупных соревнований и значимых событий: Первенство республики Алтай- ежегодно, первенство города г. Алтайска- ежегодно, турниры обучающихся г. Горно-Алтайска- ежегодно, 1-й этап ежегодного международного детского турнира «Локобол-РЖД» , республиканский ежегодный детский  турнир «Таежный кубок»;Термоупрочненный геотекстиль Франция-Таипар DKC- труба гофрированная двустенная для дренажной системы ;Республика Алтай, г. Горно-Алтайск, ул. Театральная, 20;84701000;Развитие ФК и спорта в РФ (2006-2015);строительство;18.01.2009;30.09.2010;12450000;Заместитель Председателя Комитета по физической культуре и спорту Республики Алтай Татьяна Борисовна Титанакова;388 22 28653;;sportkom-04@mail.ru;;футбольное поле ;мини-футбол, футбол;85.96040000000001;51.9582;15;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=2773
2779;Культурно-спортивный комплекс;Y;Обеспечение населения Республики Алтай спортивными сооружениями, улучшение состояния здоровья и физического развития населения Республики Алтай. Современный комплекс для проведения спортивных мероприятий местного значения. Даты крупных соревнований и значимых событий: 20-21апреля 2013 г. республиканское соревнование по боксу среди юношей на призы главы с. Саратан. 14-15 апреля 2012 г. респ. соревнование по греко –римской борьбе среди юношей.;Строительство велось с использованием типовых технологий.;Республика Алтай, c. Саратан, ул. Школьная, 13;84630430;Развитие ФК и спорта в РФ (2006-2015);строительство;17.01.2008;21.12.2011;13977800;Методист по спорту - Кеденов Андрей Андреевич;;;;;многофункциональный спортивный комплекс;баскетбол, бокс, волейбол, греко-римская борьба, мини-футбол, самбо;88.26300000000001;50.5209;16;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=2779
2783;Республиканский стадиона «Спартак»;Y;;Проект разработан в соответствии с заданием на проектирование, BCH46-86 «Спортивные и физкультурно – оздоровительные сооружения», справочное пособие к СНиП 2.08.02. – 89» Проектирование спортивных залов, помещений для физкультурно-оздоровительных занятий и крытых катков с искусственным льдом»;Республика Алтай, г. Горно-Алтайск, пер. Спортивный, 14;84701000;Развитие ФК и спорта в РФ (2006-2015);реконструкция;18.01.2010;29.01.2014;220500000;Заместитель Председателя Комитета по физической культуре и спорту Республики Алтай Татьяна Борисовна Титанакова;;;sportkom-04@mail.ru;;стадион;баскетбол, волейбол, лёгкая атлетика, мини-футбол, футбол, хоккей, хоккей с мячом;85.958;51.9541;16;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=2783
2787;Спортивный зал школы № 9;Y;Обеспечение населения Республики Алтай спортивными сооружениями, улучшение состояния здоровья и физического развития населения Республики Алтай.  Проведение уроков физической культуры в общеобразовательной школе, проведение внеурочной работы. Даты крупных соревнований и значимых событий: Открытие спортивного зала: 30.12.2009 г.  Декада военно-патриотического воспитания республиканского, городского и межрегионального соревнований:  с 01 по 23 февраля &#40 ежегодно&#41   Спортивно-оздоровительный лагерь:  с 01 по 30 июня &#40 ежегодно&#41   Приз на Деда Мороза в спортивных соревнований по волейболу и баскетболу республиканского, городского и межрегионального характера: ежегодно.;Строительство велось с использованием типовых технологий.;Республика Алтай, г. Горно-Алтайск, пр-т. Коммунистический, 53/1;84701000;Развитие ФК и спорта в РФ (2006-2015);строительство;15.08.2008;30.12.2009;34730550;Заместитель Председателя Комитета по физической культуре и спорту Республики Алтай Татьяна Борисовна Титанакова;8(38822)2-79-87;;sportkom-04@mail.ru;www.school9-gorny.edusite.ru;зал спортивный;бадминтон, баскетбол, волейбол, мини-футбол, художественная гимнастика;85.94289999999999;51.9562;16;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=2787
2928;Футбольное поле с искусственным покрытием;Y;В связи с отсутствием стадиона в г. Баксан строительство футбольного поля решило проблему доступа учащихся и молодежи к регулярным занятиям по футболу, организации спортивного досуга, как для жителей города, так и других близ лежащих населенных пунктах Баксанского района, Кабардино-Балкарской Республики.;;Республика Кабардино-Балкария, г. Баксан, ул. Революционная;83703000;Развитие ФК и спорта в РФ (2006-2015);строительство;;30.08.2010;18950000;;;;;;футбольное поле ;футбол;43.523;43.6844;15;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=2928
2936;СДЮСШОР;Y;В связи с  недостаточным обеспечением населения плоскостными сооружениями в г. Прохладный строительство футбольного поля решило проблему доступа учащихся и молодежи к регулярным занятиям по футболу, организации спортивного досуга, как для жителей города, так и других близ лежащих населенных пунктов г. о. Прохладный, Кабардино-Балкарской Республики.;;Республика Кабардино-Балкария, г. Прохладный, ул. Гагарина, 2;83710000;;строительство;;31.08.2010;18950000;;;;;;футбольное поле ;футбол;44.0122;43.7542;16;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=2936
2945;Спортивный комплекс;Y;Спортивный комплекс универсальный предназначен для проведения учебно-тренировочного процесса и соревнований по основным видам спорта &#40 волейбол, баскетбол, мини-футбол, теннис и спортивная гимнастика&#41 , плаванию, синхронному плаванию  районного, республиканского и регионального, всероссийского уровня, а также для предоставления физкультурно-оздоровительных услуг населению.  В связи с отсутствием большого спортивного сооружения в г. Нарткала строительство спорткомплекса решит проблему доступа учащихся и молодежи к регулярным занятиям физической культурой и спортом, обеспечит возможность проведения учебно-тренировочного процесса на высоком профессиональном уровне для спортсменов, проживающих в г. Нарткала и Урванском муниципальном районе Кабардино-Балкарской Республики, а так же проведение спортивных мероприятий  районного, регионального, всероссийского и международного уровня.;В объемно-планировочном отношении здание спорткомплекса представляет собой сложный в плане объем, с разной этажностью &#40 1, 2 этажа&#41  и разной высотой этажа &#40 3 000 мм, 3 900 мм от пола до потолка&#41 , с выступающими объемами и лоджиями, с подвалом в осях 6-17, П-У. Размеры здания в осях 74,10 х 59.50 м. Высота подвала 3м, объем здания – 34 123,7 м3, общая площадь здания 5 867,1 м2. Спортивный зал размером 36,18м с блокировкой подсобных помещений, бассейн 8,5х25 м.;Республика Кабардино-Балкария, г. Нарткала, ул. Кабардинская;83640101;Развитие ФК и спорта в РФ (2006-2015);строительство;15.01.2012;30.12.2015;1680800000;;;;;;многофункциональный спортивный комплекс;баскетбол, волейбол, мини-футбол, плавание, спортивная гимнастика, теннис;43.8525;43.5545;16;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=2945
2948;Физкультурно-оздоровительный комплекс;Y;Спорткомплекс в районе закладывает отличный потенциал в молодые таланты спортсменов для их будущего развития и  выступления на более высоких по уровню соревнованиях.  Все занятия с детьми в учреждении проводятся бесплатно. В связи с отсутствием спортивных объектов в с.п. Нижний Куркужин строительство ФОК решило проблемудоступа учащихся и молодежи к регулярным занятиям физической культурой и спортом, возможности работы детско-юношеских спортивных школ, проведения учебно-тренировочного процесса на высоком профессиональном уровне для спортсменов, проживающих как в указанном сельском поселении, так и других близ лежащих населенных пунктах Баксанского района, Кабардино-Балкарской Республики.;Одноэтажное здание общей площадью 925,1 м.кв. Фундамент ж/бетон, стены кирпич, кровля шатровая, покрытие металлочерепица.  Спортивный зал размером 30&#215 18 м. с блокировкой подсобных помещений, малый зал, два помещения со спортивными снарядами.;Республика Кабардино-Балкария, с. Нижний Куркужин, ул. Октябрьская;83610465;Развитие ФК и спорта в РФ (2006-2015);строительство;01.01.2009;25.08.2010;25069400;;;;;;многофункциональный спортивный комплекс;баскетбол, волейбол, вольная борьба, дзюдо, лёгкая атлетика;43.2759;43.6928;13;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=2948
2964;СДЮШОР;Y;В связи с отсутствием стадиона в г. Терек строительство футбольного поля решило проблему доступа учащихся и молодежи к регулярным занятиям по футболу, организации спортивного досуга, как для жителей города, так и других близ лежащих населенных пунктах Терского района, Кабардино-Балкарской Республики.;7 700 м2;Республика Кабардино-Балкария, г. Терек, ул. Ленина и ул. Бесланеева;83635101;Развитие ФК и спорта в РФ (2006-2015);строительство;15.01.2012;01.12.2013;47850000;;;;;;футбольное поле ;баскетбол, бокс, волейбол, вольная борьба, дзюдо, лёгкая атлетика;44.1454;43.4923;15;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=2964
2978;ДЮСШ № 1;Y;В связи с отсутствием стадиона в административном центре Лескенского муниципального района с.п. Анзорей строительство футбольного поля решило проблему доступа учащихся и молодежи к регулярным занятиям по футболу, организации спортивного досуга, как для жителей села, так и других близ лежащих населенных пунктов Лескенского района, Кабардино-Балкарской Республики.;;Республика Кабардино-Балкария, с. Анзорей, ул. Речная;83618403;Развитие ФК и спорта в РФ (2006-2015);строительство;01.01.2010;30.12.2010;18940000;;;;;;футбольное поле ;футбол;43.9392;43.3552;14;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=2978
2985;Физкультурно-оздоровительный комплекс;Y;В связи с отсутствием спортивных объектов в с.п. Урух строительство ФОК решило проблему доступа учащихся и молодежи к регулярным занятиям физической культурой и спортом, возможности проведения учебно-тренировочного процесса на высоком профессиональном уровне для спортсменов, проживающих как в указанном сельском поселении, так и других близ лежащих населенных пунктах Лескенского района, Кабардино-Балкарской Республики. Все занятия с детьми в учреждении проводятся бесплатно. Спорткомплекс в районе закладывает отличный потенциал в молодые таланты спортсменов для их будущего развития и  выступления на более высоких по уровню соревнованиях.  Результаты спортивных достижений: 1.    01-02.12.2012 г. – матчевая встреча сборных команд РСО-Алания – КБР 2.    08-10.02.2013 г. – первенство Лескенского района 3.    17-19 мая 2013 г. – Первый открытый региональный турнир по греко-римской борьбе среди юношей 1996-1997 г.р. 4.    19-21 июля 2013 г. –Первый открытый республиканский турнир по волейболу памяти МС СССР Эльджарова А.Б. 5.    04-06 октября 2013 г.  - Первый открытый республиканский турнир по греко-римской борьбе среди юношей 1993-1994 г.р. 6.    22-22 декабря 2013 г. – Республиканский новогодний турнир среди юношей «НАШИ НАДЕЖДЫ» 7.    14-16 февраля 2014 г. – открытое первенство ДЮСШ среди юношей 8.    23-25 мая 2014 г. - Второй открытый региональный турнир по греко-римской борьбе среди юношей 1997-1998 г.р. 9.    15-17 августа 2014 г. - открытый республиканский турнир по волейболу памяти МС СССР Эльджарова А.Б. 10.    26-28 декабря 2014 г. -  республиканский турнир памяти Тлехугова М.М. 11.    07-09 января 2015 г. - Третий открытый региональный турнир по греко-римской борьбе среди юношей 1998-1999 г.р.;Одноэтажное здание общей площадью 925,1 м. кв. Фундамент ж/бетон, стены кирпич, кровля шатровая, покрытие металлочерепица. общая площадь здания/сооружения: одноэтажное здание площадью 925,1 м&#178  площадь спортивной составляющей: спортивный зал – 540 м&#178   максимальная пропускная способность - 80 чел./см.;Республика Кабардино-Балкария, с. Урух, ул. Сундукова, 18;83618450;Развитие ФК и спорта в РФ (2006-2015);строительство;15.01.2011;17.08.2012;29000000;;;;;;многофункциональный спортивный комплекс;баскетбол, волейбол, вольная борьба, дзюдо, лёгкая атлетика;44.0275;43.2944;14;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=2985
2996;ФОК «Псыгансу»;Y;Строительство ФОК способствовало увеличению обеспеченности населения Кабардино-Балкарской Республики спортивными сооружениями, привлечению населения Кабардино-Балкарской республики к регулярным занятиям физической культурой и спортом, возможности проведения учебно-тренировочного процесса на высоком профессиональном уровне для спортсменов, проживающих в с.п. Псыгансу и других близ лежащих населенных пунктов Урванского района, Кабардино-Балкарской Республики. Все занятия с детьми в учреждении проводятся бесплатно.;Одноэтажное здание общей площадью 997,5 м.кв. Спортивный зал размером 30&#215 18 м. с блокировкой подсобных помещений размером 4,8&#215 25.0 м, - футбольное поле 75&#215 50 м с пристроенными трибунами на 500 мест и беговой дорожкой 100&#215 5 м. Открытая волейбольная и баскетбольная стационарные площадки.  Фундамент ж/бетон, стены кирпич, ж/б колоны и балки. Стальные межколонные связи. Мягкая кровля.  Трибуна на 500 мест. максимальная пропускная способность - 80 чел./см.;Республика Кабардино-Балкария, с. Псыгансу, ул. Ленина, 180;83640445;Развитие ФК и спорта в РФ (2006-2015);строительство;01.01.2005;01.01.2007;24000000;;;;;;многофункциональный спортивный комплекс;баскетбол, бокс, волейбол, вольная борьба, дзюдо, кикбоксинг, лёгкая атлетика, футбол;43.7907;43.4115;15;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=2996
3016;Спортивный зал борьбы им. С.З. Карамчакова;Y;Это один из самых значимых спортивных объектов Республики Хакасия. Место подготовки спортсменов высокого класса района, республики. Создание условий для укрепления здоровья населения Республики Хакасия. Приобщение различных слоев населения к регулярным занятиям физической культурой и спортом. Строительство данного комплекса &#40 универсальный зал, футбольное поле с искусственным покрытием, бассейн&#41  имело огромное  социальное значение, до этого события в селе располагался один приспособленный спортивный зал.  Даты крупных соревнований и значимых событий: Окт.2010г. Спортивная борьба «Турнир памяти С. Карамчакова». 2014-215гг.Этапы первенства Республики Хакасия по спортивной борьбе. 2014-2015гг.Чемпионат и первенство Республики Хакасия по футболу.;Здания имеют несущий металлический каркас и устройством стен из сендвич панелей, чаша бассейна длинной 25м , система очисти воды соответствует современным требования мировой практики;Республика Хакасия, пос. Аскиз, ул. Красноармейская, 1;95608405;;строительство;15.01.2008;30.05.2010;10000000;;;;mashin-vv@mail.ru;;зал спортивный;баскетбол, бокс, волейбол, единоборства (разное), мини-футбол, спортивная борьба, футбол;90.5339;53.1301;16;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3016
3032;Региональный центр спортивной подготовки;Y;Значимость объекта: - занятия футболом круглогодично, в современных условиях, - занятия легкой атлетикой в современных условиях, - привлечение населения всех возрастов к занятиям спортом, - проведение соревнований различного уровня, от городского до федерального масштабов, - повышение спортивного мастерства спортсменов города, Республики Хакасия, - увеличение количества спортсменов всех возрастов, занимающихся футболом и легкой атлетикой. Даты крупных соревнований и значимых событий: Февраль 2013г. Спартакиада учащихся России. Ноябрь 2013г. Континентальный кубок по лыжным гонкам. Ноябрь 2013г. I-этап Кубка России по лыжным гонкам.  Ноябрь 2014г. Континентальный кубок по лыжным гонкам.&#40 СФО&#41  Ноябрь 2014г. I-этап Кубка России по лыжным гонкам.  Февраль 2015г. VII - Спартакиада учащихся России &#40 СФО&#41 . Май 2015г. Лыжня Россий по Республики Хакасия.  I-очередь: Лыжные лыжероллерные трассы, модуль-боксы, искусственный снег 2010-2015гг. II-очередь: Здания трибун, многофункциональное здание, реабилитационный центр.2015-2020гг.  Февраль 2015г. VII - Спартакиада учащихся России &#40 СФО&#41 . Ноябрь 2014г. Континентальный кубок по лыжным гонкам.&#40 СФО&#41  Ноябрь 2014г. I-этап Кубка России по лыжным гонкам.  Май 2015г. Лыжня Россий по Республики Хакасия.;На поле размещено легкоатлетическое ядро, что делает его более функциональным. Искусственная трава из монофиламентного полиэтиленового волокна с высотой ворса 60 мм. Одни из многих трасс для лыжных и лыжероллерных  гонок находящиеся в среднегорье 850-920м над уровнем моря.;Республика Хакасия, пос. Вершина Тёи, 1,2 км от школы ул. Советская, 5;95608169;Развитие ФК и спорта в РФ (2006-2015);строительство;11.01.2010;28.12.2020;226000000;;;;mashin-vv@mail.ru;;многофункциональный спортивный комплекс;лыжное двоеборье, лыжные гонки;89.5675;53.2679;16;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3032
3037;ДЮСШ «Саяногорск»;Y;Значимость объекта: - занятия футболом круглогодично, в современных условиях, - занятия легкой атлетикой в современных условиях, - привлечение населения МО г. Саяногорск всех возрастов к занятиям спортом, - проведение соревнований различного уровня, от городского до федерального масштабов, - повышение спортивного мастерства спортсменов города, Республики Хакасия, - создание специализированной ДЮСШ по футболу, легкой атлетике, - отвлечение населения МО г. Саяногорск от негативных привычек &#40 наркомании, пьянства, табакокурения&#41 , - создание спортивной атмосферы в городе, - увеличение роста спортсменов всех возрастов, занимающихся футболом, легкой атлетикой. Даты крупных соревнований и значимых событий: Август 2012г. Спартакиада малых сел. 2014-2015гг. Чемпионат и первенство Республики Хакасия по футболу.;Строительство велось с использованием типовых технологий.;Республика Хакасия, г. Саяногорск, ул. Ивана Ярыгина;95708000;Развитие ФК и спорта в РФ (2006-2015);строительство;;30.11.2011;8421000;;;;mashin-vv@mail.ru;;футбольное поле ;футбол;91.42230000000001;53.1011;15;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3037
3042;Спорткомплекс «Абакан»;Y;До начала строительства спортивного комплекса г. Абакан не имел крупных спортивных объектов и все соревнования проходили в небольших спортивных залах/ СК «Абакан» лидер в  развитии физкультурно-оздоровительной работе, пропаганде здорового образа жизни, улучшение здоровья жителей города Абакана и Республики Хакасия, создание условий для занятий физической культурой и спортом, проведение спортивных соревнований, массовых спортивно-культурных мероприятий. Задачи: - отвлечение населения МО г. Саяногорск от негативных привычек &#40 наркомании, пьянства, табакокурения&#41 , - создание спортивной атмосферы в городе, - увеличение роста спортсменов всех возрастов, занимающихся футболом, легкой атлетикой. Даты крупных соревнований и значимых событий: Август 2013 г. Первенство Сибири по рукопашному бою. Окт.2013г. Спортивная борьба «Турнир памяти С. Карамчакова» Февраль 2014г. Кубок Сибири по плаванию. Октябрь 2014 г.  II- Всероссийский турнир по вольной борьбе  памяти С. Карамчакова. Январь 2015г. Первенство СФО по борьбе дзю-до  среди юношей и девушек 1998-1999 годов рождения. Февраль 2015г. Первенство СФО по плаванию. Апрель 2015г.Кубок Сибири по плаванию. Май 2015г. VII- летняя спартакиада учащихся России по борьбе дзюдо среди юношей и девушек  1999-2000 годов рождения.;Здания имеют несущий металлический каркас и устройством стен из сендвич панелей, чаша бассейна длинной 50м , система очисти воды соответствует современным требования мировой практики;Республика Хакасия, г. Абакан, ул. Катанова, 10;95701000;;строительство;15.01.2007;01.06.2010;17500000;;(3902)35-87-37;08:00 — 22:00;sport@sk-abakan.ru;http://www.sk-abakan.ru;многофункциональный спортивный комплекс;баскетбол, бокс, волейбол, единоборства (разное), мини-футбол, плавание, спортивная борьба, танцевальный спорт;91.4734;53.7258;16;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3042
3060;Искусственное футбольное поле ;Y;В городе очень велик спрос населения на занятия массовыми видами спорта. Самым востребованным является футбол. В настоящее время играют в футбол более 4 тысяч человек от 5 до 60 лет. Город имеет лишь одно футбольное поле как для проведения профессиональных  тренировок и любительских игр, так и для спортивных соревнований. Строительство стадиона с искусственным футбольным покрытием позволило сделать тренировочный процесс более эффективным, составлять план спортивных мероприятий с учетом игр республиканского и всероссийского масштаба, круглогодично привлекать детей и подростков к занятиям футболом, а также  реализовать футбольный потенциал спортсменов города на более качественном, профессиональном уровне. Наличие зрительских мест способствует популяризации данного вида спорта. Даты крупных соревнований и значимых событий: 2010-2014гг. Первенство Республики Хакасия по футболу. Октябрь 2014г. Первенство ЛФЛ Россий по футболу &#40 Зона Сибирь&#41  Финал Кубка Сибири по футболу.;Искусственная трава из монофиламентного полиэтиленового волокна с высотой ворса 60 мм.;Республика Хакасия, г. Черногорск, ул. Генерала Тихонова, 32;95715000;Развитие ФК и спорта в РФ (2006-2015);строительство;01.05.2009;01.10.2010;8440000;;;;mashin-vv@mail.ru;;футбольное поле ;футбол;91.3336;53.8318;15;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3060
3080;Физкультурно-оздоровительный комплекс;Y;;;Республика Чувашия, г. Алатырь;97704000;Развитие ФК и спорта в РФ (2006-2015);строительство;;25.12.2007;17500000;;;;;;многофункциональный спортивный комплекс;;46.5722;54.8398;16;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3080
3091;Физкультурно-оздоровительный комплекс;Y;Физкультурно-спортивный комплекс  сосредоточен на массовом привлечении населения к систематическим занятиям физической культурой и спортом. Благодаря этому достигнута значительная положительная динамика в росте численности населения, занимающегося  в оздоровительном комплексе.;;Республика Чувашия, с. Шихазаны, ул. Генерала Михайлова, 15/а;97616476;Развитие ФК и спорта в РФ (2006-2015);строительство;01.06.2005;15.09.2006;15400000;;;;;;многофункциональный спортивный комплекс;бадминтон, баскетбол, бильярдный спорт, волейбол, лёгкая атлетика, плавание, спортивная гимнастика, теннис, тяжёлая атлетика, художественная гимнастика, шахматы, шашки;47.395;55.5601;16;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3091
3101;Спортивный  корпус с плавательным бассейном «Патвар»;Y;Необходимо отметить, что благодаря преимущественному строительству физкультурно-спортивных комплексов в сельской местности намного улучшилась спортивная инфраструктура для развития массовой физкультурно-спортивной работы, а также увеличился удельный вес сельского населения, систематически занимающегося физической культурой и спортом, за 2008-2013 годы с 25 процентов до 35,9 процентов к общей численности сельского населения нашего района. Физкультурно - оздоровительный комплекс используется не только для занятий населения поселка Ибреси и Ибресинского района, а также близлежащих районов физкультурой и спортом, но и для проведения учебных занятий учащихся средних и общеобразовательных школ, районных и республиканских мероприятий и соревнований. Благодаря появлению  ФОКа удалось достичь положительного эффекта по многим направлениям: отмечается динамика в росте численности населения, занимающегося физической культурой и спортом с 23,5&#37  - в 2007 году до 35,9&#37  - в 2013. В детско-юношеской спортивной школе  теперь уже по 9 видам спорта занимаются  548 детей и подростков. В целях улучшения рационального использования новых комплексов в них активнее  начали культивировать такие массовые виды спорта, как: мини-футбол, футзал, волейбол, баскетбол, стрит-баскет, плавание. На базе физкультурно-спортивных комплексов массово и зрелищно проведены соревнования в рамках первенства Чувашской Республики по волейболу среди юношей и девушек, открытый республиканский турнир по кикбоксингу памяти воинов-афганцев и повших в боях на северном Кавказе, зональные игры чемпионата Школьной Баскетбольной Лиги «КЭС-БАСКЕТ», чемпионат республики по вольной борьбе среди юношей памяти мастера спорта СССР О.А. Маркиянова, ежемесячно республиканская акция «День здоровья и спорта», «Школьная волейбольная лига», II этап Всероссийских соревнований по мини-футболу &#40 футзалу&#41  среди команд общеобразовательных учреждений в 2013-2014 гг. &#40 в рамках общероссийского проекта «Мини-футбол – в школу»&#41 , Республиканский Фестиваль математиков  и многие другие.;;Республика Чувашия, пгт Ибреси, ул. Никольская, 9;97613151;Развитие ФК и спорта в РФ (2006-2015);строительство;07.11.2006;30.07.2008;46185000;;89373903222;;patvar@ibresi.cap.ru;;многофункциональный спортивный комплекс;баскетбол, волейбол, вольная борьба, мини-футбол, настольный теннис, плавание, теннис, фитнес-аэробика;47.0432;55.2959;16;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3101
3112;ФОК «Олимп»;Y;Физкультурно-оздоровительный комплекс «Олимп» начал функционировать с марта 2007 года. За время своего существования он  дал возможность приобщиться к занятиям физической культурой и спортом всем категориям  жителей города, района, а также нашим гостям. С открытием «ДЮСШ»   при МОУ ДОД «Олимп» было сформировано и начало функционировать  отделение плавания на бесплатной основе  и охватом более двухсот детей,  появилась возможность организовывать и проводить спортивно-массовые мероприятия не только городского и районного масштабов, но и республиканского, зонально-территориального уровня, с приглашением гостей и участников из близлежащих республик и областей.  Участники и инвалиды  ВОВ, инвалиды  общих заболеваний, дети из малообеспеченных семей  имеют возможность посетить  спортивный комплекс бесплатно в специально отведенное для них время.  Объект вносит свой вклад в формирование современного облика города и поддержку чувашского и российского спорта, развитие которого  является одной из приоритетных задач государства. Объект находится в центре города, шаговой доступности. Новое футбольное поле, отвечает современным европейским стандартам, предназначенным для любительского и профессионального спорта, полноценного физического развития подрастающего поколения. На обновленном стадионе  созданы все условия для работы детско-юношеских спортивных школ и секций, развитию талантливой молодежи и воспитанию профессиональных спортсменов.;Применение в строительстве « сендвич-панелей», кровля над плавательным бассейном и универсальным спортивным залом  покрыта мягкой кровлей.  Футбольное поле с искусственным покрытием и ливневая канализация по водоотводу  хоккейная коробка   реконструкция трибун - установка пластиковых кресел  уличная гимнастическая площадка  уличные тренажеры  наружное освещение  ограждение стадиона.;Республика Чувашия, г. Шумерля, ул. Ленина, 17/б;97713000;Развитие ФК и спорта в РФ (2006-2015);строительство;01.04.2006;30.12.2012;57500000;;;8.00 - 20.00;;;многофункциональный спортивный комплекс;баскетбол, волейбол, каратэ, плавание, фитнес-аэробика;46.4033;55.5006;16;http://objects.minsportfcp.ru/objects/detail/gallery.php?ID=3112
